question_no,type,category,tags,stem,preamble,statement_a,statement_b,statement_c,statement_d,choice_1,choice_2,choice_3,choice_4,choice_5,correct,explanation,explanation_summary,explanation_correct,explanation_choices,explanation_point
1,single,関係法令,演習;関係法令,衛生管理者の選任に関する次の記述のうち、法令上、正しいものはどれか。ただし、選任の特例はないものとする。,,,,,,常時30人の労働者を使用する事業場では、業種にかかわらず衛生管理者を選任しなければならない。,常時50人以上の労働者を使用する事業場では、原則として衛生管理者を選任しなければならない。,常時50人以上の労働者を使用する事業場では、産業医を選任すれば衛生管理者の選任は不要である。,衛生管理者は、事業場外の者のうちから選任しなければならない。,衛生管理者を選任したときは、労働者代表に通知すれば所轄労働基準監督署長への報告は不要である。,2,正答は2。衛生管理者の選任義務は常時50人以上の労働者を使用する事業場に課されており、(2)の記述は正しい。(1)30人では義務なし、(3)産業医と衛生管理者は別に選任が必要、(4)専属を原則とする事業場もあるが外部の場合もある、(5)報告書は所轄労働基準監督署長に提出が必要。,正答は2。衛生管理者の選任義務は常時50人以上の労働者を使用する事業場に課されており、(2)の記述は正しい。(1)30人では義務なし、(3)産業医と衛生管理者は別に選任が必要、(4)専属を原則とする事業場もあるが外部の場合もある、(5)報告書は所轄労働基準監督署長に提出が必要。,（2）の記述は正しい（単独の記述としては妥当な場合がありますが、設問全体の正答かどうかは他肢と比較して判断してください。） 衛生管理者の選任義務は常時50人以上の労働者を使用する事業場に課されており、(2)の記述は正しい。,1:（1）「常時30人の労働者を使用する事業場では、業種にかかわらず衛生管理者を選任しなければならない。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（2）「常時50人以上の労働者を使用する事業場では、原則として衛生管理者を選任しなければならない。」です。問題文の条件（衛生管理者の選任に関する次の記述のうち、法令上、正しいものはどれか。ただし、選任の特例はないもの…）と照らし、設問が問う論点に合う肢を選び直してください。;3:（3）産業医と衛生管理者は別に選任が必要 選択肢（3）「常時50人以上の労働者を使用する事業場では、産業医を選任すれば衛生管理者の選任は不要である。」は本問の正答（2）とは異なるため不適です。;4:（4）「衛生管理者は、事業場外の者のうちから選任しなければならない。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（2）「常時50人以上の労働者を使用する事業場では、原則として衛生管理者を選任しなければならない。」です。問題文の条件（衛生管理者の選任に関する次の記述のうち、法令上、正しいものはどれか。ただし、選任の特例はないもの…）と照らし、設問が問う論点に合う肢を選び直してください。;5:（5）報告書は所轄労働基準監督署長に提出が必要 選択肢（5）「衛生管理者を選任したときは、労働者代表に通知すれば所轄労働基準監督署長への報告は不要である。」は本問の正答（2）とは異なるため不適です。,
2,single,関係法令,演習;関係法令,産業医に関する次の記述のうち、法令上、誤っているものはどれか。ただし、産業医の選任の特例はないものとする。,,,,,,産業医は、労働者の健康管理等を行うために必要な医学に関する知識を有する医師から選任する。,常時50人以上の労働者を使用する事業場では、原則として産業医を選任しなければならない。,産業医の選任は、選任すべき事由が発生した日から14日以内に行う必要がある。,産業医は、衛生委員会の委員として指名されることがある。,産業医は、医師でない衛生管理者から選任しなければならない。,5,正答は5。産業医は医師の中から選任しなければならず、医師でない衛生管理者から選任するという規定は存在しない。(5)の記述は誤り。(1)〜(4)はいずれも法令上定められた内容として正しい。,正答は5。産業医は医師の中から選任しなければならず、医師でない衛生管理者から選任するという規定は存在しない。(5)の記述は誤り。(1)〜(4)はいずれも法令上定められた内容として正しい。,（5）の記述は誤り (5)の記述は誤り。,1:（1）の内容は、正答（5）「産業医は、医師でない衛生管理者から選任しなければならない。」が示す論点とずれています。 解説の要点：正答は5。産業医は医師の中から選任しなければならず、医師でない衛生管理者から選任するという規定は存在しない。(5)の記述は誤り。(1)〜(4)はいずれも法令上定められた内容として正しい。 正答（5）との違いを確認し直してください。;2:（2）の内容は、正答（5）「産業医は、医師でない衛生管理者から選任しなければならない。」が示す論点とずれています。 解説の要点：正答は5。産業医は医師の中から選任しなければならず、医師でない衛生管理者から選任するという規定は存在しない。(5)の記述は誤り。(1)〜(4)はいずれも法令上定められた内容として正しい。 正答（5）との違いを確認し直してください。;3:（3）の内容は、正答（5）「産業医は、医師でない衛生管理者から選任しなければならない。」が示す論点とずれています。 解説の要点：正答は5。産業医は医師の中から選任しなければならず、医師でない衛生管理者から選任するという規定は存在しない。(5)の記述は誤り。(1)〜(4)はいずれも法令上定められた内容として正しい。 正答（5）との違いを確認し直してください。;4:（4）「産業医は、衛生委員会の委員として指名されることがある。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（5）「産業医は、医師でない衛生管理者から選任しなければならない。」です。問題文の条件（産業医に関する次の記述のうち、法令上、誤っているものはどれか。ただし、産業医の選任の特例はないも…）と照らし、設問が問う論点に合う肢を選び直してください。,
3,single,関係法令,演習;関係法令,衛生委員会に関する次の記述のうち、法令上、正しいものはどれか。,,,,,,衛生委員会は、常時10人以上の労働者を使用するすべての事業場に設けなければならない。,衛生委員会の議長は、労働者の互選により選出しなければならない。,衛生委員会は、毎月1回以上開催するようにしなければならない。,衛生委員会の議事の概要は、すべて非公開とし、労働者に周知してはならない。,衛生委員会には、産業医を委員として指名することはできない。,3,正答は3。衛生委員会は毎月1回以上開催しなければならないと定められており、(3)の記述は正しい。(1)設置義務は常時50人以上の事業場、(2)議長は総括安全衛生管理者等から事業者が指名、(4)議事概要は労働者に周知が必要、(5)産業医は委員として指名できる。,正答は3。衛生委員会は毎月1回以上開催しなければならないと定められており、(3)の記述は正しい。(1)設置義務は常時50人以上の事業場、(2)議長は総括安全衛生管理者等から事業者が指名、(4)議事概要は労働者に周知が必要、(5)産業医は委員として指名できる。,（3）の記述は正しい（単独の記述としては妥当な場合がありますが、設問全体の正答かどうかは他肢と比較して判断してください。） 衛生委員会は毎月1回以上開催しなければならないと定められており、(3)の記述は正しい。,1:（1）設置義務は常時50人以上の事業場 選択肢（1）「衛生委員会は、常時10人以上の労働者を使用するすべての事業場に設けなければならない。」は本問の正答（3）とは異なるため不適です。;2:（2）「衛生委員会の議長は、労働者の互選により選出しなければならない。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（3）「衛生委員会は、毎月1回以上開催するようにしなければならない。」です。問題文の条件（衛生委員会に関する次の記述のうち、法令上、正しいものはどれか。…）と照らし、設問が問う論点に合う肢を選び直してください。;4:（4）「衛生委員会の議事の概要は、すべて非公開とし、労働者に周知してはならない。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（3）「衛生委員会は、毎月1回以上開催するようにしなければならない。」です。問題文の条件（衛生委員会に関する次の記述のうち、法令上、正しいものはどれか。…）と照らし、設問が問う論点に合う肢を選び直してください。;5:（5）「衛生委員会には、産業医を委員として指名することはできない。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（3）「衛生委員会は、毎月1回以上開催するようにしなければならない。」です。問題文の条件（衛生委員会に関する次の記述のうち、法令上、正しいものはどれか。…）と照らし、設問が問う論点に合う肢を選び直してください。,
4,single,関係法令,演習;関係法令,総括安全衛生管理者に関する次の記述のうち、法令上、誤っているものはどれか。,,,,,,総括安全衛生管理者は、事業の実施を統括管理する者をもって充てる。,総括安全衛生管理者は、安全管理者、衛生管理者等を指揮する。,総括安全衛生管理者の選任が必要となる業種及び規模は、法令で定められている。,総括安全衛生管理者は、労働災害防止に関する業務を統括管理する。,総括安全衛生管理者は、必ず医師免許を有する者から選任しなければならない。,5,正答は5。総括安全衛生管理者は、その事業の実施を統括管理する者から選任すればよく、医師免許は不要である。(5)の記述は誤り。,正答は5。総括安全衛生管理者は、その事業の実施を統括管理する者から選任すればよく、医師免許は不要である。(5)の記述は誤り。,（5）の記述は誤り (5)の記述は誤り。,1:（1）の内容は、正答（5）「総括安全衛生管理者は、必ず医師免許を有する者から選任しなければならない。」が示す論点とずれています。 解説の要点：正答は5。総括安全衛生管理者は、その事業の実施を統括管理する者から選任すればよく、医師免許は不要である。(5)の記述は誤り。 正答（5）との違いを確認し直してください。;2:（2）の内容は、正答（5）「総括安全衛生管理者は、必ず医師免許を有する者から選任しなければならない。」が示す論点とずれています。 解説の要点：正答は5。総括安全衛生管理者は、その事業の実施を統括管理する者から選任すればよく、医師免許は不要である。(5)の記述は誤り。 正答（5）との違いを確認し直してください。;3:（3）の内容は、正答（5）「総括安全衛生管理者は、必ず医師免許を有する者から選任しなければならない。」が示す論点とずれています。 解説の要点：正答は5。総括安全衛生管理者は、その事業の実施を統括管理する者から選任すればよく、医師免許は不要である。(5)の記述は誤り。 正答（5）との違いを確認し直してください。;4:（4）の内容は、正答（5）「総括安全衛生管理者は、必ず医師免許を有する者から選任しなければならない。」が示す論点とずれています。 解説の要点：正答は5。総括安全衛生管理者は、その事業の実施を統括管理する者から選任すればよく、医師免許は不要である。(5)の記述は誤り。 正答（5）との違いを確認し直してください。,
5,single,関係法令,演習;関係法令,安全衛生教育に関する次の記述のうち、法令上、正しいものはどれか。,,,,,,雇入れ時の安全衛生教育は、常時50人以上の事業場に限り実施すればよい。,雇入れ時の安全衛生教育では、業務に関係する安全又は衛生のために必要な事項を教育する。,雇入れ時の安全衛生教育は、事務職の労働者については一切不要である。,安全衛生教育は、労働者が希望した場合に限り実施すればよい。,安全衛生教育は、実施後1年以内に所轄労働基準監督署長へ個人別成績を報告しなければならない。,2,正答は2。雇入れ時の安全衛生教育は、業務に関係する安全・衛生のために必要な事項を教育するものであり、(2)の記述は正しい。(1)規模要件なし、(3)事務職も対象、(4)希望に関係なく実施義務あり、(5)報告義務はない。,正答は2。雇入れ時の安全衛生教育は、業務に関係する安全・衛生のために必要な事項を教育するものであり、(2)の記述は正しい。(1)規模要件なし、(3)事務職も対象、(4)希望に関係なく実施義務あり、(5)報告義務はない。,（2）の記述は正しい（単独の記述としては妥当な場合がありますが、設問全体の正答かどうかは他肢と比較して判断してください。） 雇入れ時の安全衛生教育は、業務に関係する安全・衛生のために必要な事項を教育するものであり、(2)の記述は正しい。,1:（1）「雇入れ時の安全衛生教育は、常時50人以上の事業場に限り実施すればよい。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（2）「雇入れ時の安全衛生教育では、業務に関係する安全又は衛生のために必要な事項を教育する。」です。問題文の条件（安全衛生教育に関する次の記述のうち、法令上、正しいものはどれか。…）と照らし、設問が問う論点に合う肢を選び直してください。;3:（3）「雇入れ時の安全衛生教育は、事務職の労働者については一切不要である。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（2）「雇入れ時の安全衛生教育では、業務に関係する安全又は衛生のために必要な事項を教育する。」です。問題文の条件（安全衛生教育に関する次の記述のうち、法令上、正しいものはどれか。…）と照らし、設問が問う論点に合う肢を選び直してください。;4:（4）「安全衛生教育は、労働者が希望した場合に限り実施すればよい。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（2）「雇入れ時の安全衛生教育では、業務に関係する安全又は衛生のために必要な事項を教育する。」です。問題文の条件（安全衛生教育に関する次の記述のうち、法令上、正しいものはどれか。…）と照らし、設問が問う論点に合う肢を選び直してください。;5:（5）「安全衛生教育は、実施後1年以内に所轄労働基準監督署長へ個人別成績を報告しなければならない。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（2）「雇入れ時の安全衛生教育では、業務に関係する安全又は衛生のために必要な事項を教育する。」です。問題文の条件（安全衛生教育に関する次の記述のうち、法令上、正しいものはどれか。…）と照らし、設問が問う論点に合う肢を選び直してください。,
6,single,関係法令,演習;関係法令,定期健康診断に関する次の記述のうち、法令上、誤っているものはどれか。,,,,,,事業者は、常時使用する労働者に対し、定期に医師による健康診断を行わなければならない。,健康診断の結果は、原則として労働者に通知しなければならない。,健康診断個人票は、一定期間保存しなければならない。,常時50人以上の労働者を使用する事業場では、定期健康診断結果を所轄労働基準監督署長に報告する必要がある。,定期健康診断は、産業医を選任している事業場では実施しなくてもよい。,5,正答は5。定期健康診断は産業医の有無にかかわらず実施しなければならない義務がある。(5)の「産業医を選任している場合は実施しなくてもよい」という記述は誤り。,正答は5。定期健康診断は産業医の有無にかかわらず実施しなければならない義務がある。(5)の「産業医を選任している場合は実施しなくてもよい」という記述は誤り。,（5）の「産業医を選任している場合は実施しなくてもよい」という記述は誤り (5)の「産業医を選任している場合は実施しなくてもよい」という記述は誤り。,1:解説では「定期健康診断は産業医の有無にかかわらず実施しなければならない義務がある。」とある一方、（1）の記述はそれと矛盾します。 解説の要点：正答は5。定期健康診断は産業医の有無にかかわらず実施しなければならない義務がある。(5)の「産業医を選任している場合は実施しなくてもよい」という記述は誤り。 正答（5）との違いを確認し直してください。;2:解説では「定期健康診断は産業医の有無にかかわらず実施しなければならない義務がある。」とある一方、（2）の記述はそれと矛盾します。 解説の要点：正答は5。定期健康診断は産業医の有無にかかわらず実施しなければならない義務がある。(5)の「産業医を選任している場合は実施しなくてもよい」という記述は誤り。 正答（5）との違いを確認し直してください。;3:解説では「定期健康診断は産業医の有無にかかわらず実施しなければならない義務がある。」とある一方、（3）の記述はそれと矛盾します。 解説の要点：正答は5。定期健康診断は産業医の有無にかかわらず実施しなければならない義務がある。(5)の「産業医を選任している場合は実施しなくてもよい」という記述は誤り。 正答（5）との違いを確認し直してください。;4:（4）の内容は、正答（5）「定期健康診断は、産業医を選任している事業場では実施しなくてもよい。」が示す論点とずれています。 解説の要点：正答は5。定期健康診断は産業医の有無にかかわらず実施しなければならない義務がある。(5)の「産業医を選任している場合は実施しなくてもよい」という記述は誤り。 正答（5）との違いを確認し直してください。,
7,single,関係法令,演習;関係法令,ストレスチェックに関する次の記述のうち、法令上、正しいものはどれか。,,,,,,常時50人以上の労働者を使用する事業場では、心理的な負担の程度を把握するための検査を実施しなければならない。,ストレスチェックの結果は、労働者本人の同意がなくても直ちに人事評価に利用できる。,ストレスチェックは、事業場の規模にかかわらず毎月1回実施しなければならない。,ストレスチェックを受けた労働者全員に、医師による面接指導を実施しなければならない。,ストレスチェックの実施者は、当該労働者の解雇権限を持つ監督者に限られる。,1,正答は1。常時50人以上の労働者を使用する事業場では、1年以内ごとに1回ストレスチェックを実施しなければならないと定められており、(1)の記述は正しい。(2)結果は人事評価に利用不可、(3)1年以内ごとに1回が正しい、(4)面接指導は申出があった高ストレス者のみ、(5)解雇権限を持つ者は実施者になれない。,正答は1。常時50人以上の労働者を使用する事業場では、1年以内ごとに1回ストレスチェックを実施しなければならないと定められており、(1)の記述は正しい。(2)結果は人事評価に利用不可、(3)1年以内ごとに1回が正しい、(4)面接指導は申出があった高ストレス者のみ、(5)解雇権限を持つ者は実施者になれない。,（1）の記述は正しい（単独の記述としては妥当な場合がありますが、設問全体の正答かどうかは他肢と比較して判断してください。） 常時50人以上の労働者を使用する事業場では、1年以内ごとに1回ストレスチェックを実施しなければならないと定められており、(1)の記述は正しい。,2:（2）「ストレスチェックの結果は、労働者本人の同意がなくても直ちに人事評価に利用できる。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（1）「常時50人以上の労働者を使用する事業場では、心理的な負担の程度を把握するための検査を実施しなければならない。」です。問題文の条件（ストレスチェックに関する次の記述のうち、法令上、正しいものはどれか。…）と照らし、設問が問う論点に合う肢を選び直してください。;3:（3）「ストレスチェックは、事業場の規模にかかわらず毎月1回実施しなければならない。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（1）「常時50人以上の労働者を使用する事業場では、心理的な負担の程度を把握するための検査を実施しなければならない。」です。問題文の条件（ストレスチェックに関する次の記述のうち、法令上、正しいものはどれか。…）と照らし、設問が問う論点に合う肢を選び直してください。;4:（4）面接指導は申出があった高ストレス者のみ 選択肢（4）「ストレスチェックを受けた労働者全員に、医師による面接指導を実施しなければならない。」は本問の正答（1）とは異なるため不適です。;5:（5）「ストレスチェックの実施者は、当該労働者の解雇権限を持つ監督者に限られる。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（1）「常時50人以上の労働者を使用する事業場では、心理的な負担の程度を把握するための検査を実施しなければならない。」です。問題文の条件（ストレスチェックに関する次の記述のうち、法令上、正しいものはどれか。…）と照らし、設問が問う論点に合う肢を選び直してください。,
8,single,関係法令,演習;関係法令,医師による面接指導に関する次の記述のうち、法令上、誤っているものはどれか。ただし、研究開発業務従事者等はいないものとする。,,,,,,事業者は、労働時間の状況を把握するための必要な措置を講じなければならない。,一定の長時間労働者から申出があったときは、医師による面接指導を行う必要がある。,面接指導の結果に基づき、必要な措置について医師の意見を聴かなければならない。,面接指導の記録は、一定期間保存しなければならない。,面接指導を受けた労働者は、その後の健康診断を永久に免除される。,5,正答は5。面接指導を受けた労働者が健康診断を永久に免除されるという規定はなく、(5)の記述は誤り。面接指導と定期健康診断はそれぞれ独立した制度である。,正答は5。面接指導を受けた労働者が健康診断を永久に免除されるという規定はなく、(5)の記述は誤り。面接指導と定期健康診断はそれぞれ独立した制度である。,（5）の記述は誤り 面接指導を受けた労働者が健康診断を永久に免除されるという規定はなく、(5)の記述は誤り。,1:解説では「面接指導と定期健康診断はそれぞれ独立した制度である。」とある一方、（1）の記述はそれと矛盾します。 解説の要点：正答は5。面接指導を受けた労働者が健康診断を永久に免除されるという規定はなく、(5)の記述は誤り。面接指導と定期健康診断はそれぞれ独立した制度である。 正答（5）との違いを確認し直してください。;2:（2）の内容は、正答（5）「面接指導を受けた労働者は、その後の健康診断を永久に免除される。」が示す論点とずれています。 解説の要点：正答は5。面接指導を受けた労働者が健康診断を永久に免除されるという規定はなく、(5)の記述は誤り。面接指導と定期健康診断はそれぞれ独立した制度である。 正答（5）との違いを確認し直してください。;3:解説では「面接指導と定期健康診断はそれぞれ独立した制度である。」とある一方、（3）の記述はそれと矛盾します。 解説の要点：正答は5。面接指導を受けた労働者が健康診断を永久に免除されるという規定はなく、(5)の記述は誤り。面接指導と定期健康診断はそれぞれ独立した制度である。 正答（5）との違いを確認し直してください。;4:解説では「面接指導と定期健康診断はそれぞれ独立した制度である。」とある一方、（4）の記述はそれと矛盾します。 解説の要点：正答は5。面接指導を受けた労働者が健康診断を永久に免除されるという規定はなく、(5)の記述は誤り。面接指導と定期健康診断はそれぞれ独立した制度である。 正答（5）との違いを確認し直してください。,
9,single,関係法令,演習;関係法令,事務所の衛生基準に関する次の記述のうち、法令上、正しいものはどれか。,,,,,,事務室の照明設備は、設置後は点検する必要がない。,事務室の気積、換気、照度等については、労働者の衛生保持の観点から基準が定められている。,燃焼器具を使用する場合でも、換気に関する配慮は一切不要である。,食堂を設ける場合、その清潔保持に関する定めはない。,休養室又は休養所は、男女を区別して設けてはならない。,2,正答は2。事務室の気積・換気・照度等については労働衛生保持の観点から基準が定められており、(2)の記述は正しい。(1)照明設備は6か月以内ごとの点検義務あり、(3)燃焼器具使用時は毎日点検が必要、(4)食堂には清潔保持等の基準あり、(5)休養室は男女別に設置が必要な場合がある。,正答は2。事務室の気積・換気・照度等については労働衛生保持の観点から基準が定められており、(2)の記述は正しい。(1)照明設備は6か月以内ごとの点検義務あり、(3)燃焼器具使用時は毎日点検が必要、(4)食堂には清潔保持等の基準あり、(5)休養室は男女別に設置が必要な場合がある。,（2）の記述は正しい（単独の記述としては妥当な場合がありますが、設問全体の正答かどうかは他肢と比較して判断してください。） 事務室の気積・換気・照度等については労働衛生保持の観点から基準が定められており、(2)の記述は正しい。,1:（1）「事務室の照明設備は、設置後は点検する必要がない。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（2）「事務室の気積、換気、照度等については、労働者の衛生保持の観点から基準が定められている。」です。問題文の条件（事務所の衛生基準に関する次の記述のうち、法令上、正しいものはどれか。…）と照らし、設問が問う論点に合う肢を選び直してください。;3:（3）「燃焼器具を使用する場合でも、換気に関する配慮は一切不要である。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（2）「事務室の気積、換気、照度等については、労働者の衛生保持の観点から基準が定められている。」です。問題文の条件（事務所の衛生基準に関する次の記述のうち、法令上、正しいものはどれか。…）と照らし、設問が問う論点に合う肢を選び直してください。;4:（4）「食堂を設ける場合、その清潔保持に関する定めはない。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（2）「事務室の気積、換気、照度等については、労働者の衛生保持の観点から基準が定められている。」です。問題文の条件（事務所の衛生基準に関する次の記述のうち、法令上、正しいものはどれか。…）と照らし、設問が問う論点に合う肢を選び直してください。;5:（5）「休養室又は休養所は、男女を区別して設けてはならない。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（2）「事務室の気積、換気、照度等については、労働者の衛生保持の観点から基準が定められている。」です。問題文の条件（事務所の衛生基準に関する次の記述のうち、法令上、正しいものはどれか。…）と照らし、設問が問う論点に合う肢を選び直してください。,
10,single,関係法令,演習;関係法令,年次有給休暇に関する次の記述のうち、労働基準法上、正しいものはどれか。,,,,,,年次有給休暇は、労働者の請求があっても使用者が常に拒否できる。,年次有給休暇の権利は、労働者が出勤率等の要件を満たした場合に発生する。,年次有給休暇は、試用期間中の労働者には一切発生しない。,年次有給休暇を取得した日は、欠勤として取り扱わなければならない。,年次有給休暇の賃金は、常に無給でよい。,2,正答は2。年次有給休暇の権利は、一定の出勤率等の要件を満たすことで発生すると定められており、(2)の記述は正しい。(1)使用者には時季変更権があるが拒否の絶対権はない、(3)試用期間中でも要件を満たせば発生、(4)有給扱いとなる、(5)所定労働日の賃金等の支払いが必要。,正答は2。年次有給休暇の権利は、一定の出勤率等の要件を満たすことで発生すると定められており、(2)の記述は正しい。(1)使用者には時季変更権があるが拒否の絶対権はない、(3)試用期間中でも要件を満たせば発生、(4)有給扱いとなる、(5)所定労働日の賃金等の支払いが必要。,（2）の記述は正しい（単独の記述としては妥当な場合がありますが、設問全体の正答かどうかは他肢と比較して判断してください。） 年次有給休暇の権利は、一定の出勤率等の要件を満たすことで発生すると定められており、(2)の記述は正しい。,1:（1）「年次有給休暇は、労働者の請求があっても使用者が常に拒否できる。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（2）「年次有給休暇の権利は、労働者が出勤率等の要件を満たした場合に発生する。」です。問題文の条件（年次有給休暇に関する次の記述のうち、労働基準法上、正しいものはどれか。…）と照らし、設問が問う論点に合う肢を選び直してください。;3:（3）「年次有給休暇は、試用期間中の労働者には一切発生しない。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（2）「年次有給休暇の権利は、労働者が出勤率等の要件を満たした場合に発生する。」です。問題文の条件（年次有給休暇に関する次の記述のうち、労働基準法上、正しいものはどれか。…）と照らし、設問が問う論点に合う肢を選び直してください。;4:（4）「年次有給休暇を取得した日は、欠勤として取り扱わなければならない。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（2）「年次有給休暇の権利は、労働者が出勤率等の要件を満たした場合に発生する。」です。問題文の条件（年次有給休暇に関する次の記述のうち、労働基準法上、正しいものはどれか。…）と照らし、設問が問う論点に合う肢を選び直してください。;5:（5）「年次有給休暇の賃金は、常に無給でよい。」は、単独の記述としては法令上妥当な場合がありますが、本問で選ぶべき正答は（2）「年次有給休暇の権利は、労働者が出勤率等の要件を満たした場合に発生する。」です。問題文の条件（年次有給休暇に関する次の記述のうち、労働基準法上、正しいものはどれか。…）と照らし、設問が問う論点に合う肢を選び直してください。,
